TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.bookkeeper.client.LedgerHandle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.07607594361834642,2888,87
org.apache.bookkeeper.bookie.Journal,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5269417812374428,2049,1046
org.apache.bookkeeper.bookie.Journal,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5749063577121984,2039,982
org.apache.bookkeeper.bookie.Journal,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5488240903366874,2039,755
org.apache.bookkeeper.bookie.Journal,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5586090481203815,1974,867
org.apache.bookkeeper.client.LedgerHandle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.1620330817037482,2627,87
org.apache.bookkeeper.bookie.Journal,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5355166891448712,2069,1077
org.apache.bookkeeper.bookie.Journal,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5469226790246162,2085,1116
org.apache.bookkeeper.bookie.Journal,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5443986310983088,2059,1094
org.apache.bookkeeper.bookie.Journal,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5848306665840679,1962,856
org.apache.bookkeeper.client.LedgerHandle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.1633488711774324,2627,87
